Epoch262---->precision:0.6563488484402602, recall:0.8749038926427755, f1:0.7025070786476135
Epoch263---->precision:0.6551345463810013, recall:0.8751771795143926, f1:0.700880765914917
Epoch264---->precision:0.6678772296741255, recall:0.8776777396492966, f1:0.7173901796340942
Epoch265---->precision:0.6692066012653006, recall:0.8773366469735027, f1:0.7190009951591492
Epoch266---->precision:0.6682175517087553, recall:0.8731922382990767, f1:0.7175453305244446
Epoch267---->precision:0.6708566520613088, recall:0.8733935920566975, f1:0.7207355499267578
Epoch268---->precision:0.6583167395296843, recall:0.874086095682834, f1:0.7050939202308655
Epoch269---->precision:0.6629174112148257, recall:0.8763236872206697, f1:0.7111119031906128
Epoch270---->precision:0.6533793689809844, recall:0.8733443591467082, f1:0.6984832286834717
Epoch271---->precision:0.6450866326102054, recall:0.8739669933137582, f1:0.6867510676383972
Epoch272---->precision:0.6592941519942508, recall:0.8763956203346659, f1:0.7064343690872192
Epoch273---->precision:0.6787730468504063, recall:0.8775318097663942, f1:0.7303159236907959
Epoch274---->precision:0.6745997928687676, recall:0.8740017806393793, f1:0.7251944541931152
Epoch275---->precision:0.6719896495044456, recall:0.8738682326859353, f1:0.7221169471740723
Epoch276---->precision:0.6641807285443453, recall:0.8723128264996876, f1:0.7125273942947388
Epoch277---->precision:0.6538880091430426, recall:0.8736155823634155, f1:0.6991771459579468
Epoch278---->precision:0.6493587522193287, recall:0.8747087298498839, f1:0.6928972601890564
Epoch279---->precision:0.6583710395918216, recall:0.8732025565736253, f1:0.7051419019699097
Epoch280---->precision:0.6647856363698583, recall:0.8790400466975625, f1:0.7135948538780212
Epoch281---->precision:0.6870127304653204, recall:0.8767776913008102, f1:0.7394165396690369
Epoch282---->precision:0.6537376405737876, recall:0.8708293534274361, f1:0.6989442706108093
Epoch283---->precision:0.6594090016839645, recall:0.8746285421162486, f1:0.7065359354019165
Epoch284---->precision:0.6687380643865013, recall:0.8743470006249926, f1:0.7182488441467285
Epoch285---->precision:0.6666992068446203, recall:0.8753004091932878, f1:0.7158073782920837
Epoch286---->precision:0.6719295011541421, recall:0.8794406905578944, f1:0.7224334478378296
Epoch287---->precision:0.6660070576150573, recall:0.875912725085789, f1:0.7149815559387207
Epoch288---->precision:0.6631305165719399, recall:0.8773428379382319, f1:0.7114232778549194
Epoch289---->precision:0.6535062268824867, recall:0.873412164950885, f1:0.6986564993858337
Epoch290---->precision:0.6689579753061431, recall:0.880938609214514, f1:0.7189012765884399
Epoch291---->precision:0.6730120912979927, recall:0.8752264124243818, f1:0.7234275937080383
Epoch292---->precision:0.6606438584529093, recall:0.8734039103312461, f1:0.7080945372581482
Epoch293---->precision:0.6638327090900038, recall:0.8831865190268983, f1:0.7125356197357178
Epoch294---->precision:0.6573232085858731, recall:0.8744949941628046, f1:0.7037945985794067
Epoch295---->precision:0.6641896719426446, recall:0.8824385915260433, f1:0.712968647480011
Epoch296---->precision:0.6518206748333807, recall:0.8841523095246517, f1:0.6962791681289673
Epoch297---->precision:0.6372224964669038, recall:0.8645994740628058, f1:0.6752961277961731
Epoch298---->precision:0.6369276187652346, recall:0.867862407282933, f1:0.6746575832366943
Epoch299---->precision:0.6491993609384628, recall:0.8701554226954871, f1:0.6927101612091064


Best Result: Epoch250, precision:0.6891910348313932, recall:0.8650882654685677, f1:0.740250825881958

