Epoch147---->precision:0.8429267085842556, recall:0.8594319216757742, f1:0.8508211374282837
Epoch148---->precision:0.845458152958153, recall:0.8633917729204614, f1:0.8540061712265015
Epoch149---->precision:0.8345272371300242, recall:0.8674230924913985, f1:0.849511981010437
Epoch150---->precision:0.8417698355533938, recall:0.8697284203602509, f1:0.8547197580337524
Epoch151---->precision:0.8476627234477456, recall:0.8683300445253996, f1:0.8574450016021729
Epoch152---->precision:0.8459540618805932, recall:0.8678177494434325, f1:0.8562651872634888
Epoch153---->precision:0.8398845608900658, recall:0.8701945456385347, f1:0.8538216352462769
Epoch154---->precision:0.8346617322870622, recall:0.870614501113135, f1:0.8508920669555664
Epoch155---->precision:0.8459185141679109, recall:0.871009158065169, f1:0.8576468229293823
Epoch156---->precision:0.8480671299654703, recall:0.8641602155434123, f1:0.8557795286178589
Epoch157---->precision:0.8428634940958885, recall:0.8658147389192472, f1:0.8536474704742432
Epoch158---->precision:0.8478564162699029, recall:0.8737344414086218, f1:0.8599326610565186
Epoch159---->precision:0.8499324219263937, recall:0.8700769075086014, f1:0.8594851493835449
Epoch160---->precision:0.851256507019694, recall:0.8661632260675977, f1:0.8584263324737549
Epoch161---->precision:0.8453529639129977, recall:0.8729659987856709, f1:0.8581684231758118
Epoch162---->precision:0.8390370319852691, recall:0.877299635701275, f1:0.8562237024307251
Epoch163---->precision:0.8616699113130002, recall:0.8680024286581663, f1:0.8647867441177368
Epoch164---->precision:0.8548348454066952, recall:0.8671878162315321, f1:0.8608189821243286
Epoch165---->precision:0.8407561348136253, recall:0.8736421018012548, f1:0.8557707071304321
Epoch166---->precision:0.8426707359207648, recall:0.8763673851447076, f1:0.8580302000045776
Epoch167---->precision:0.8516694434708292, recall:0.8705892025905687, f1:0.8606737852096558
Epoch168---->precision:0.8488402241289077, recall:0.8676077717061323, f1:0.857771098613739
Epoch169---->precision:0.846255653353328, recall:0.8668393290831815, f1:0.8559978008270264
Epoch170---->precision:0.8357936226023279, recall:0.8730836369156041, f1:0.8525687456130981
Epoch171---->precision:0.8498264794748274, recall:0.8646725106253794, f1:0.8569667935371399
Epoch172---->precision:0.8528795303840617, recall:0.8590581360048573, f1:0.8559202551841736
Epoch173---->precision:0.8434196573549392, recall:0.8670493068204816, f1:0.8545030355453491
Epoch174---->precision:0.8461837649858149, recall:0.8732221463266545, f1:0.8587555885314941
Epoch175---->precision:0.8467593303639994, recall:0.8712653056061526, f1:0.858235239982605
Epoch176---->precision:0.8510202135774219, recall:0.8725460433110707, f1:0.8611923456192017
Epoch177---->precision:0.8507040363324553, recall:0.8735244636713215, f1:0.8614497184753418
Epoch178---->precision:0.8497488784012119, recall:0.879651133373811, f1:0.8635567426681519
Epoch179---->precision:0.8471934927167184, recall:0.8639040680024287, f1:0.8551874160766602
Epoch180---->precision:0.849788444360867, recall:0.8764597247520745, f1:0.8622140884399414
Epoch181---->precision:0.8450944601730168, recall:0.8771358277676584, f1:0.8597805500030518
Epoch182---->precision:0.8401977097560693, recall:0.8724075339000202, f1:0.8549293279647827
Epoch183---->precision:0.8429791891086613, recall:0.878580373406193, f1:0.8591201901435852
Epoch184---->precision:0.8448485832589105, recall:0.8653486136409634, f1:0.8545504808425903
Epoch185---->precision:0.8480671299654703, recall:0.8641602155434123, f1:0.8557795286178589
Epoch186---->precision:0.8434369932271297, recall:0.8734321240639547, f1:0.8572574257850647
Epoch187---->precision:0.8442480372337925, recall:0.8704968629832017, f1:0.8564730882644653
Epoch188---->precision:0.8457712313392307, recall:0.8624133525602105, f1:0.8537319898605347
